ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
854,Snake_River_66,45,5,650,228
855,Snake_River_67,45,5,660,228
856,Snake_River_68,45,7,670,228
857,Snake_River_69,45,5,680,228
858,Snake_River_7,45,7,60,655
859,Snake_River_70,45,5,690,228
860,Snake_River_71,45,5,700,228
861,Snake_River_72,45,5,710,228
862,Snake_River_73,45,5,720,228
863,Snake_River_74,45,5,730,228
864,Snake_River_75,45,5,740,228
865,Snake_River_76,45,5,750,228
866,Snake_River_77,45,5,760,228
867,Snake_River_78,45,5,770,155
868,Snake_River_79,45,5,780,155
869,Snake_River_8,45,7,70,655
870,Snake_River_80,45,5,790,155
871,Snake_River_81,45,5,800,190
872,Snake_River_82,45,5,810,190
873,Snake_River_83,45,5,820,190
874,Snake_River_84,45,5,830,190
875,Snake_River_85,45,5,840,190
876,Snake_River_86,45,5,850,190
877,Snake_River_87,45,5,860,190
878,Snake_River_88,45,5,870,190
879,Snake_River_89,45,5,880,190
880,Snake_River_9,45,7,80,655
881,Snake_River_90,45,5,890,190
882,Snake_River_91,45,5,900,190
883,Snake_River_92,45,7,910,190
884,Snake_River_93,45,7,920,190
885,Snake_River_94,45,7,930,190
886,Snake_River_95,45,5,940,190
887,Snake_River_96,45,5,950,190
888,Snake_River_97,45,7,960,190
889,Snake_River_98,45,7,970,190
890,Snake_River_99,45,5,980,190
891,Spillimacheen_River_1,46,26,0,97
892,Spillimacheen_River_10,46,29,90,
893,Spillimacheen_River_11,46,27,100,
894,Spillimacheen_River_2,46,27,10,97
895,Spillimacheen_River_3,46,27,20,97
896,Spillimacheen_River_4,46,27,30,97
897,Spillimacheen_River_5,46,27,40,97
898,Spillimacheen_River_6,46,27,50,97
899,Spillimacheen_River_7,46,27,60,97
900,Spillimacheen_River_8,46,27,70,
901,Spillimacheen_River_9,46,27,80,
902,Spokane_River_1,47,7,0,1094
903,Spokane_River_10,47,7,90,498
904,Spokane_River_11,47,7,100,498
905,Spokane_River_12,47,7,110,498
906,Spokane_River_13,47,7,120,498
907,Spokane_River_14,47,18,130,498
908,Spokane_River_15,47,18,140,498
909,Spokane_River_16,47,18,150,498
910,Spokane_River_17,47,18,160,498
911,Spokane_River_18,47,18,170,498
912,Spokane_River_19,47,18,180,498
913,Spokane_River_2,47,7,10,498
914,Spokane_River_20,47,18,190,498
915,Spokane_River_21,47,18,200,498
916,Spokane_River_22,47,18,210,498
917,Spokane_River_23,47,18,220,498
918,Spokane_River_3,47,7,20,498
919,Spokane_River_4,47,7,30,498
920,Spokane_River_5,47,7,40,498
921,Spokane_River_6,47,7,50,498
922,Spokane_River_7,47,7,60,498
923,Spokane_River_8,47,7,70,498
924,Spokane_River_9,47,18,80,498
925,Sullivan_River_1,48,27,0,1575
926,Sullivan_River_2,48,27,10,
927,Sullivan_River_3,48,27,20,
928,Sullivan_River_4,48,27,30,
929,Umatilla_River_1,49,5,0,1996
930,Umatilla_River_10,49,7,90,
931,Umatilla_River_11,49,7,100,
932,Umatilla_River_12,49,18,110,
933,Umatilla_River_13,49,18,120,
934,Umatilla_River_14,49,18,130,
935,Umatilla_River_15,49,18,140,
936,Umatilla_River_2,49,5,10,1996
937,Umatilla_River_3,49,5,20,
938,Umatilla_River_4,49,5,30,
939,Umatilla_River_5,49,5,40,
940,Umatilla_River_6,49,7,50,
941,Umatilla_River_7,49,7,60,
942,Umatilla_River_8,49,7,70,
943,Umatilla_River_9,49,7,80,
944,Waitabit_Creek_1,50,27,0,965
945,Waitabit_Creek_2,50,27,10,965
946,Waitabit_Creek_3,50,27,20,
947,Waitabit_Creek_4,50,27,30,
948,Walla_Walla_River_1,51,7,0,1996
949,Walla_Walla_River_2,51,7,10,1996
950,Walla_Walla_River_3,51,7,20,
951,Walla_Walla_River_4,51,7,30,
952,Walla_Walla_River_5,51,7,40,
953,Walla_Walla_River_6,51,7,50,
954,Walla_Walla_River_7,51,7,60,
955,Walla_Walla_River_8,51,7,70,
956,Walla_Walla_River_9,51,7,80,
957,Washougal_River_1,52,9,0,1094
958,Washougal_River_2,52,9,10,1094
959,Washougal_River_3,52,9,20,1094
960,Washougal_River_4,52,9,30,1094
961,Washougal_River_5,52,9,40,
962,Washougal_River_6,52,9,50,
963,Wenatchee_River_1,53,17,0,572
964,Wenatchee_River_2,53,18,10,572
965,Wenatchee_River_3,53,18,20,
966,Wenatchee_River_4,53,18,30,
967,Wenatchee_River_5,53,18,40,
968,Wenatchee_River_6,53,18,50,
969,Wenatchee_River_7,53,18,60,
970,Wenatchee_River_8,53,18,70,
971,Wenatchee_River_9,53,18,80,
972,Whatshan_River_1,54,26,0,1996
973,Whatshan_River_2,54,26,10,1996
974,Whatshan_River_3,54,26,20,1996
975,Whatshan_River_4,54,26,30,
976,Whatshan_River_5,54,27,40,
977,White_Salmon_River_1,55,9,0,1094
978,White_Salmon_River_2,55,9,10,1094
979,White_Salmon_River_3,55,18,20,
980,White_Salmon_River_4,55,18,30,
981,White_Salmon_River_5,55,18,40,
982,White_Salmon_River_6,55,18,50,
983,White_Salmon_River_7,55,18,60,
984,White_Salmon_River_8,55,19,70,
985,Willamette_River_1,56,9,0,190
986,Willamette_River_10,56,9,90,190
987,Willamette_River_11,56,9,100,190
988,Willamette_River_12,56,9,110,190
989,Willamette_River_13,56,9,120,190
990,Willamette_River_14,56,9,130,190
991,Willamette_River_15,56,9,140,190
992,Willamette_River_16,56,9,150,190
993,Willamette_River_17,56,9,160,190
994,Willamette_River_18,56,9,170,190
995,Willamette_River_19,56,9,180,72
996,Willamette_River_2,56,9,10,190
997,Willamette_River_20,56,9,190,72
998,Willamette_River_21,56,9,200,72
999,Willamette_River_22,56,9,210,72
1000,Willamette_River_23,56,9,220,72
1001,Willamette_River_24,56,9,230,72
1002,Willamette_River_25,56,9,240,72
1003,Willamette_River_26,56,9,250,72
1004,Willamette_River_27,56,9,260,72
1005,Willamette_River_28,56,9,270,72
1006,Willamette_River_29,56,9,280,72
