date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1990-03-04,1018311.9980544001,1920.48384,642836.66688,-0.37766079999999747,4.300154400000004,-2.338787599999998,145579170.3924
1990-03-05,1415121.4328832,1920.5051760000001,643081.324032,-0.3721052,4.039041200000003,-4.261025199999999,146223626.68800002
1990-03-06,860287.9435776,1920.5082240000002,643228.1183232,-0.4776615999999976,4.039041200000003,-7.3166052,146313239.01
1990-03-07,954872.3985408001,1920.51432,643277.0497536,-2.0332295999999985,5.833500000000004,-13.822212799999999,146497446.9132
1990-03-08,1139490.68544,1920.526512,643374.9126144,-1.7110047999999978,5.000160000000005,-11.511083199999998,146866257.4332
1990-03-09,865352.346624,1920.52956,643472.7754751999,-1.1721115999999974,5.961278800000002,-10.022182399999998,146960951.69280002
1990-03-10,770670.0288,1920.52956,643521.7069055999,1.677911200000004,9.805754000000004,-9.194397999999998,146960951.69280002
1990-03-11,1045884.8590848,1920.538704,643619.5697663999,-2.8610139999999973,4.694602000000003,-6.177707199999999,147236165.7504
1990-03-12,951153.6098304,1920.5448000000001,629576.2492415999,-6.905490799999997,-3.688798399999998,-9.894403599999999,147421545.4596
1990-03-13,1014935.7293568,1920.553944,584437.0046976,-8.549948399999998,-1.988784799999996,-18.4111384,147697610.6184
1990-03-14,963728.9874432001,1920.563088,532471.8256128,-4.077690399999998,4.566823200000002,-10.0666272,147978745.38
1990-03-15,910785.1797503999,1920.5722320000002,493008.62699519994,-4.027689999999998,2.994588400000005,-11.244414399999998,148255858.9968
1990-03-16,1068466.7142144002,1920.5874720000002,453545.4283776,-5.8832603999999975,7.489068800000002,-19.677815199999998,148724914.4364
1990-03-17,954432.0156672,1920.599664,417898.8813312,-1.5110031999999975,3.777928000000003,-9.327732399999999,149099497.6428
1990-03-18,1046961.3505536,1920.614904,418021.2099072,1.716800400000004,9.5890856,-5.566591199999998,149566616.5188
1990-03-19,956536.0671744001,1920.6270960000002,418143.5384832,0.911238400000002,10.2446464,-9.499955999999997,149943308.976
1990-03-20,953600.1813504,1920.63624,544288.7660544,2.616807600000005,11.989104800000003,-5.216588399999999,150224110.698
1990-03-21,906503.6795904,1920.6392880000003,761617.714176,2.200137600000005,11.161320400000005,-3.8221327999999968,150320790.8604
1990-03-22,889915.9246848,1920.6514800000002,424162.1044224,-1.3443351999999997,10.9002072,-7.011047199999998,150699382.8768
1990-03-23,1085837.3720064,1920.669768,424308.8987136,-9.533289599999998,-6.705489199999999,-13.911102399999999,151268991.606
1990-03-24,906992.9938944001,1920.6819600000001,424431.22728959995,-8.127722799999997,3.4279252000000042,-16.2277876,151649976.57360002
1990-03-25,1010923.352064,1920.6972,424553.5558656,-7.583273999999998,7.272400400000006,-22.472282,152125100.73479998
1990-03-26,1118132.1160704,1920.7154880000003,424675.8844416,-2.327676399999998,10.594649200000003,-17.055571999999998,152700087.4368
1990-03-27,1142304.242688,1920.733776,424871.6101632,2.1501371999999996,6.400171200000006,-4.261025199999999,153277245.0636
1990-03-28,1057775.196672,1920.7490160000002,424993.9387392,1.0390172,7.533513600000006,-2.8610139999999973,153757623.84960002
1990-03-29,1080993.1603968,1920.7642560000002,425140.7330304,1.016794800000003,12.077994400000005,-5.438812399999998,154244096.0268
1990-03-30,995363.1571967999,1920.776448,425287.5273216,0.9445720000000044,13.866897600000005,-10.983301199999998,154627806.98520002
1990-03-31,1225438.7429376,1920.794736,425409.8558976,2.5834740000000025,14.739126800000001,-7.272160399999999,155212254.4788
1990-04-01,1237451.4091008,1920.813024,425581.11590399995,5.822388800000002,19.58916560000001,-5.527701999999998,155798922.2364
1990-04-02,1298884.8199679998,1920.83436,425727.91019519995,5.994612400000001,21.7725164,-5.349922799999998,156488622.57840002
1990-04-03,1221181.7084928,1920.8556960000003,426437.415936,6.322392800000003,19.722500000000004,-3.688798399999998,157169121.15960002
1990-04-04,1115538.7502591999,1920.873984,458878.9542912,5.844611200000006,14.000232000000004,-3.5165747999999972,157741517.5536
1990-04-05,852263.1889920001,1920.883128,499956.890112,2.4445840000000025,7.139066000000003,-1.8998951999999978,158026167.73319998
1990-04-06,1498378.2617088002,1920.913608,462132.8944128,2.7723644000000043,14.478013600000004,-7.444383999999998,158986296.2304
1990-04-07,1344880.364544,1920.9379920000001,493155.4212864,5.383496400000002,12.250218000000004,-2.1610083999999983,159758676.73680001
1990-04-08,1546404.4606464,1920.9654240000002,589134.422016,3.5890376000000046,12.205773200000003,-0.4165499999999973,160629834.3216
1990-04-09,1152653.2402176,1920.9806640000002,574357.1300351999,4.605712400000002,13.166892000000004,-0.7221079999999986,161119476.5424
1990-04-10,1392025.7977344,1921.0050480000002,542209.1802624,3.3001464000000027,13.083558000000004,-5.6999255999999985,161897407.7088
