date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
2022-08-24,13.033557600000005,12.677999200000006,13.361338000000003,-4942.0744704,445276.01664
2022-08-25,13.055780000000002,12.739110800000002,13.444672000000004,1174.3543296,450169.15968
2022-08-26,13.061335600000003,12.805778000000004,13.389116000000005,-9982.0118016,457508.87424
2022-08-27,13.072446800000005,12.894667600000005,13.378004800000003,-24808.235212800002,459955.44576
2022-08-28,13.0057796,12.700221600000003,13.305782000000004,-12550.911897599999,469741.73184
2022-08-29,13.011335200000005,12.639110000000002,13.400227200000003,11939.2690176,491760.87552
2022-08-30,13.139114000000003,12.816889200000006,13.478005600000003,8122.6174464,503993.73312
2022-08-31,13.172447600000005,12.8668896,13.489116800000005,13138.0890624,496654.01856
2022-09-01,13.200225600000003,12.911334400000005,13.516894800000003,5822.8402176,484421.16096
2022-09-02,13.161336400000003,12.789111200000004,13.550228400000005,10667.0518272,496654.01856
2022-09-03,13.205781200000004,13.033557600000005,13.589117600000005,-2764.6258175999997,479528.01792
2022-09-04,13.205781200000004,12.855778400000005,13.561339600000004,15609.1262976,494207.44704
2022-09-05,13.250226000000005,13.033557600000005,13.561339600000004,11865.871872,499100.59008
2022-09-06,13.239114800000003,12.939112400000003,13.550228400000005,-6361.085952,467295.16031999997
2022-09-07,13.2835596,13.011335200000005,13.616895600000003,9810.7517952,450169.15968
2022-09-08,13.216892400000003,13.039113200000003,13.494672400000002,-8685.328895999999,450169.15968
2022-09-09,13.172447600000005,12.878000800000002,13.505783600000004,4893.14304,450169.15968
2022-09-10,13.228003600000005,12.916890000000002,13.561339600000004,-3669.85728,440382.8736
2022-09-11,13.250226000000005,13.000224000000003,13.500228000000003,9908.614656,440382.8736
2022-09-12,13.322448800000004,13.161336400000003,13.600228800000004,29236.529663999998,486867.73248
2022-09-13,13.372449200000005,13.166892000000004,13.650229200000005,21847.883673599998,486867.73248
2022-09-14,13.411338400000005,13.244670400000008,13.655784800000003,5871.771648,479528.01792
