date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
2018-10-28,6018.5659392,-1394.5457663999998,660.5778,12.383552400000003,17.039145200000007,7.477957600000003,5957708.4,0.0,6018.5659392
2018-10-29,6018.5659392,1076.4914688,660.5717040000001,8.744634400000006,12.950223600000005,5.716832400000001,5952774.48,0.0,6018.5659392
2018-10-30,6018.5659392,-5088.8687616,660.559512,6.916842000000006,12.0335496,1.955691200000004,5941673.16,0.0,6018.5659392
2018-10-31,6018.5659392,1100.957184,660.5534160000001,9.433528800000001,12.700221600000003,6.633506400000002,5936739.24,0.0,6018.5659392
2018-11-01,6238.757376,-3620.9258495999998,660.541224,10.433536800000006,14.628014800000003,7.300178400000004,5926871.4,0.0,6238.757376
2018-11-02,6238.757376,-1149.8886143999998,660.53208,10.250202000000005,14.516902800000004,5.700165600000002,5919470.5200000005,0.0,6238.757376
2018-11-03,6238.757376,-12257.3233152,660.510744,8.905746800000003,15.800246400000006,3.9890408000000015,5900968.32,0.0,6238.757376
2018-11-04,6238.757376,3767.7201408,660.507696,7.733515200000003,10.700205600000004,3.9334848000000022,5898501.36,0.0,6238.757376
2018-11-05,6336.6202367999995,3865.5830016,660.5046480000001,7.933516800000003,12.566887200000004,4.400155200000004,5896034.4,0.0,6336.6202367999995
2018-11-06,6458.9488128,-5871.771648,660.489408,5.739054800000002,11.900215200000005,1.4001312000000041,5883699.6,0.0,6458.9488128
2018-11-07,6458.9488128,3987.9115776,660.48636,5.105716400000002,10.439092400000003,1.6056884000000018,5881232.64,0.0,6458.9488128
2018-11-08,6458.9488128,1541.3400576,660.480264,10.183534800000004,16.078026400000006,2.7223640000000024,5876298.72,0.0,6458.9488128
2018-11-09,6458.9488128,-929.6971776,660.47112,10.050200400000005,15.094685200000008,5.100160800000001,5868897.84,0.0,6458.9488128
2018-11-10,6458.9488128,-929.6971776,660.461976,6.077946400000002,12.516886800000005,0.022342400000002982,5861496.96,0.0,6458.9488128
