date,total avg discharge (m3/d),wse(m),storage(m3)
1994-09-04,195.7257216,,2063710.7184
1994-09-05,1223.28576,,1987271.9627999999
1994-09-06,2544.4343808,,1918098.4043999999
1994-09-07,2055.1200768,,1859767.1352000001
1994-09-08,856.300032,,1802212.9584
1994-09-09,929.6971776,,1727895.7884
1994-09-10,1247.7514752,,1658697.5604
1994-09-11,758.4371712,,1575857.0436
1994-09-12,97.8628608,,1496383.9272
1994-09-13,0.0,,1426790.9856
1994-09-14,2446.57152,,1362699.3648
1994-09-15,1223.28576,,1304861.4875999999
1994-09-16,1003.0943232,,1253228.0148
1994-09-17,1321.1486208000001,,1176394.5456
1994-09-18,48.9314304,,1109897.6387999998
1994-09-19,0.0,,1049000.7312
1994-09-20,0.0,,990916.158
1994-09-21,0.0,,926010.4404000001
1994-09-22,0.0,,860228.9519999999
1994-09-23,0.0,,785862.4428000001
1994-09-24,0.0,,713494.1712000001
1994-09-25,0.0,,633577.002
1994-09-26,0.0,,568621.9452000001
1994-09-27,0.0,,539536.4868000001
1994-09-28,0.0,,534553.2276
1994-09-29,1223.28576,,537871.2888
1994-09-30,1810.4629247999999,,539536.4868000001
1994-10-01,1467.942912,,518061.60000000003
1994-10-02,0.0,,518061.60000000003
1994-10-03,0.0,,518061.60000000003
1994-10-04,0.0,,518061.60000000003
1994-10-05,0.0,,518061.60000000003
1994-10-06,0.0,,518061.60000000003
1994-10-07,1223.28576,,518061.60000000003
1994-10-08,1223.28576,,518061.60000000003
1994-10-09,3669.85728,,518061.60000000003
1994-10-10,562.7114496,,518061.60000000003
1994-10-11,0.0,,518061.60000000003
1994-10-12,0.0,,518061.60000000003
1994-10-13,0.0,,518061.60000000003
1994-10-14,0.0,,518061.60000000003
1994-10-15,0.0,,518061.60000000003
1994-10-16,0.0,,518061.60000000003
1994-10-17,0.0,,518061.60000000003
1994-10-18,0.0,,518061.60000000003
1994-10-19,0.0,,518061.60000000003
1994-10-20,0.0,,518061.60000000003
1994-10-21,0.0,,518061.60000000003
1994-10-22,0.0,,518061.60000000003
1994-10-23,0.0,,518061.60000000003
1994-10-24,0.0,,518061.60000000003
1994-10-25,0.0,,518061.60000000003
1994-10-26,0.0,,518061.60000000003
1994-10-27,0.0,,518061.60000000003
1994-10-28,0.0,,518061.60000000003
1994-10-29,2055.1200768,,518061.60000000003
1994-10-30,11254.228991999998,,518061.60000000003
1994-10-31,978.628608,,518061.60000000003
1994-11-01,1859.3943552,,518061.60000000003
1994-11-02,0.0,,518061.60000000003
1994-11-03,0.0,,518061.60000000003
1994-11-04,0.0,,518061.60000000003
1994-11-05,2935.885824,,518061.60000000003
1994-11-06,2935.885824,,518061.60000000003
1994-11-07,1443.4771968,,518061.60000000003
1994-11-08,0.0,,518061.60000000003
1994-11-09,660.5743104000001,,518061.60000000003
1994-11-10,0.0,,518061.60000000003
